Season,DayNum,WinnerTeamID,WinnerScore,LoserTeamID,LoserScore,WinnerLocation,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,EstimatedPossessions,GameDateLabel
2026,0,1143,87,1167,60,H,0,32,59,5,23,18,25,9,20,20,14,5,4,22,19,53,3,9,19,30,10,16,10,16,6,4,20,74.5625,2026-Day000
2026,0,1150,92,1232,76,H,0,31,65,10,21,20,30,14,25,14,8,6,2,16,27,57,7,26,15,21,6,16,19,9,6,1,20,71.6125,2026-Day000
2026,0,1153,94,1441,63,H,0,32,59,10,28,20,30,6,27,20,14,11,7,15,23,64,9,27,8,14,12,21,12,19,8,1,23,79.45,2026-Day000
2026,0,1155,88,1306,38,H,0,26,51,6,19,30,41,7,35,13,6,2,4,15,15,60,4,27,4,9,7,20,7,8,4,1,28,67.375,2026-Day000
2026,0,1160,84,1286,78,H,0,27,52,3,12,27,39,10,22,17,9,7,3,18,29,56,7,20,13,17,5,17,8,10,3,2,27,69.30000000000001,2026-Day000
2026,0,1161,98,1230,64,H,0,29,48,13,25,27,30,8,34,22,8,1,1,18,23,59,6,26,12,21,7,13,8,5,7,1,22,64.6125,2026-Day000
2026,0,1163,79,1481,55,H,0,27,56,8,23,17,20,10,30,11,11,9,5,16,23,52,3,14,6,14,4,20,3,10,7,1,15,65.575,2026-Day000
2026,0,1173,88,1145,48,H,0,27,51,6,24,28,41,9,21,16,4,12,5,15,18,50,7,19,5,11,9,20,10,17,3,3,26,64.35,2026-Day000
2026,0,1177,92,1152,62,H,0,30,60,8,25,24,35,15,24,21,13,12,7,18,21,56,4,16,16,23,6,22,8,16,8,3,22,75.775,2026-Day000
2026,0,1179,77,1319,71,N,0,27,60,7,22,16,22,10,32,13,10,2,5,11,27,73,10,24,7,12,15,22,14,6,3,1,20,70.075,2026-Day000
2026,0,1182,83,1310,63,H,0,31,55,11,26,10,13,7,24,18,17,8,4,26,20,48,2,14,21,27,5,17,6,14,10,4,14,70.5,2026-Day000
2026,0,1185,71,1209,49,H,0,31,73,3,11,6,11,18,30,12,13,10,3,16,17,58,7,23,8,12,11,24,10,17,9,4,14,71.4625,2026-Day000
2026,0,1194,83,1130,78,H,1,29,67,12,23,13,25,9,29,15,12,9,10,17,28,67,10,28,12,24,13,36,12,13,8,5,19,80.1375,2026-Day000
2026,0,1203,67,1263,47,H,0,27,59,2,20,11,17,14,29,12,15,9,4,15,16,51,5,22,10,12,4,17,8,14,10,3,16,67.3875,2026-Day000
2026,0,1206,70,1459,46,H,0,26,55,6,17,12,16,7,27,12,11,4,4,16,15,50,6,29,10,16,9,22,10,15,5,3,20,65.1,2026-Day000
2026,0,1207,87,1288,70,H,0,28,65,4,26,27,39,13,22,15,7,11,11,20,23,58,7,18,17,24,9,19,8,15,3,7,23,76.4625,2026-Day000
2026,0,1208,104,1468,59,H,0,38,70,9,29,19,21,8,29,13,6,16,6,11,23,57,8,28,5,6,5,21,16,21,6,3,15,76.9125,2026-Day000
2026,0,1210,56,1271,52,H,1,21,60,5,26,9,18,9,27,12,13,13,7,16,20,56,6,23,6,11,6,29,14,18,4,4,20,72.88749999999999,2026-Day000
2026,0,1211,98,1411,43,H,0,37,69,7,22,17,21,17,33,19,13,9,4,20,15,59,3,21,10,17,9,14,7,16,6,1,21,74.525,2026-Day000
2026,0,1213,90,1236,71,H,0,32,57,11,24,15,20,7,32,21,15,7,2,16,27,64,8,30,9,10,4,17,14,13,9,1,16,76.125,2026-Day000
2026,0,1219,97,1202,71,N,0,40,69,9,20,8,15,9,19,17,6,17,3,18,25,57,7,26,14,19,14,24,13,22,1,3,16,73.575,2026-Day000
2026,0,1222,75,1250,57,H,0,26,61,7,21,16,20,12,25,14,13,11,6,22,19,51,4,15,15,23,9,21,5,14,8,3,16,69.2125,2026-Day000
2026,0,1225,83,1450,81,A,0,29,58,11,28,14,19,7,24,14,10,3,3,23,25,57,6,28,25,34,6,25,8,5,5,4,19,71.0875,2026-Day000
2026,0,1227,91,1178,71,H,0,25,56,11,26,30,36,10,31,17,15,7,7,17,24,77,8,40,15,20,18,21,13,14,11,4,25,80.3,2026-Day000
2026,0,1228,113,1238,55,H,0,40,73,17,37,16,24,21,39,23,12,6,2,10,19,62,7,29,10,14,3,13,5,10,11,2,22,75.525,2026-Day000
2026,0,1235,88,1192,50,H,0,35,67,12,27,6,9,7,32,19,9,11,1,20,17,52,6,27,10,17,6,23,7,18,6,4,11,72.67500000000001,2026-Day000
2026,0,1242,94,1453,51,H,0,33,58,10,27,18,24,9,35,20,3,6,8,15,16,56,8,31,11,18,5,17,7,6,2,2,20,64.475,2026-Day000
2026,0,1257,104,1354,45,H,0,33,62,12,32,26,33,11,34,23,16,12,4,21,13,57,2,19,17,22,10,19,5,25,6,5,25,82.5625,2026-Day000
2026,0,1260,91,1156,88,H,0,29,66,14,37,19,25,10,15,21,7,6,7,19,28,64,11,30,21,23,11,23,18,14,2,4,19,76.4,2026-Day000
2026,0,1266,80,1107,53,H,0,24,58,5,24,27,39,14,27,16,14,18,4,16,19,67,5,30,10,14,16,23,11,22,8,4,27,78.0875,2026-Day000
2026,0,1267,78,1269,72,A,0,27,56,10,30,14,19,8,27,22,25,9,2,29,23,55,5,18,21,36,7,17,18,20,13,1,20,83.5625,2026-Day000
2026,0,1268,83,1164,61,N,0,25,55,10,29,23,25,9,22,16,12,11,2,18,21,49,7,19,12,16,7,16,11,20,4,2,17,69.7375,2026-Day000
2026,0,1274,86,1239,69,H,0,27,49,3,14,29,37,7,23,18,15,7,3,15,27,58,8,27,7,14,5,14,11,12,8,2,27,73.11250000000001,2026-Day000
2026,0,1275,87,1330,72,H,0,29,58,7,24,22,27,8,23,11,12,9,4,17,25,53,9,21,13,16,4,20,13,19,5,3,23,75.2125,2026-Day000
2026,0,1276,121,1324,78,H,0,45,70,19,35,12,13,4,34,31,8,3,7,15,27,64,11,26,13,15,4,15,11,9,6,0,11,78.15,2026-Day000
2026,0,1277,80,1159,69,H,0,25,60,6,21,24,37,19,27,18,9,8,3,13,27,57,11,29,4,6,3,21,14,13,6,2,25,68.7125,2026-Day000
2026,0,1278,87,1205,60,H,0,30,55,7,21,20,30,11,30,25,14,9,7,23,19,57,6,19,16,27,6,19,8,13,7,6,23,74.5375,2026-Day000
2026,0,1279,88,1368,58,H,0,28,54,7,22,25,30,9,29,16,9,7,5,20,18,53,7,28,15,25,8,14,14,13,6,0,24,69.0625,2026-Day000
2026,0,1281,88,1224,67,A,0,34,61,10,19,10,21,15,29,16,16,6,3,18,22,62,12,29,11,16,8,18,17,13,5,2,19,73.2875,2026-Day000
2026,0,1293,85,1303,77,N,0,23,59,9,32,30,33,8,24,12,14,8,4,21,30,64,4,12,13,18,8,25,6,17,8,2,20,81.1125,2026-Day000
2026,0,1296,102,1419,82,H,0,36,65,11,27,19,26,17,21,23,16,3,2,22,29,56,8,20,16,22,6,9,13,12,7,2,20,74.4,2026-Day000
2026,0,1298,76,1342,55,A,0,27,55,6,15,16,24,9,21,14,8,9,1,20,19,49,3,21,14,22,10,19,7,15,5,7,20,64.92500000000001,2026-Day000
2026,0,1301,114,1300,66,H,0,37,64,19,40,21,30,13,26,27,9,13,1,21,21,48,5,18,19,28,7,17,9,18,8,2,19,73.275,2026-Day000
2026,0,1304,86,1480,53,H,0,30,64,10,32,16,25,13,33,20,9,7,1,14,19,65,4,24,11,13,10,24,8,11,7,4,21,72.025,2026-Day000
2026,0,1309,78,1395,74,A,0,28,57,7,18,15,19,11,27,14,18,7,2,24,26,67,3,27,19,26,11,16,13,10,10,4,18,75.6875,2026-Day000
2026,0,1314,94,1146,54,H,0,33,65,10,29,18,22,11,30,23,12,13,3,14,20,64,8,29,6,9,8,19,9,17,8,1,22,76.86250000000001,2026-Day000
2026,0,1321,70,1479,47,H,0,19,52,5,19,27,38,13,32,13,11,7,4,12,18,60,1,18,10,13,6,22,11,9,8,5,23,68.6125,2026-Day000
2026,0,1323,89,1254,67,H,0,27,55,14,27,21,30,15,26,15,17,7,1,24,21,55,6,18,19,31,12,16,12,14,10,3,22,71.4875,2026-Day000
2026,0,1326,118,1237,102,H,0,34,54,8,22,42,53,11,30,19,16,6,1,17,38,76,12,38,14,20,11,13,20,12,6,0,36,85.3375,2026-Day000
2026,0,1328,102,1384,66,H,0,39,70,11,30,13,18,11,28,23,11,8,10,11,27,66,5,17,7,10,5,18,10,13,8,1,19,78.65,2026-Day000
2026,0,1333,67,1295,65,H,0,20,45,8,22,19,26,4,27,13,12,5,0,14,26,66,6,31,7,11,11,23,17,7,7,1,22,66.2875,2026-Day000
2026,0,1336,76,1193,68,H,0,28,57,5,18,15,25,7,31,13,7,5,2,11,27,70,6,33,8,9,9,25,10,7,3,2,21,70.575,2026-Day000
2026,0,1338,74,1464,59,H,0,23,53,6,17,22,27,15,27,11,16,9,3,14,22,56,10,33,5,9,7,14,7,11,5,6,20,65.55000000000001,2026-Day000
2026,0,1344,89,1221,79,H,0,31,62,7,26,20,27,7,33,17,10,11,6,21,27,65,11,33,14,21,6,27,13,13,8,2,22,79.9,2026-Day000
2026,0,1347,80,1442,75,H,0,27,51,6,22,20,31,11,15,12,6,4,5,18,28,59,6,18,13,20,12,16,5,10,3,2,26,63.6125,2026-Day000
2026,0,1348,93,1391,62,H,0,33,63,8,26,19,24,13,27,19,14,16,2,16,21,55,8,25,12,22,9,15,12,20,6,2,14,75.92500000000001,2026-Day000
2026,0,1355,75,1467,66,N,0,24,57,7,18,20,26,12,27,17,14,4,4,18,18,56,8,29,22,27,3,21,9,11,8,6,21,74.0875,2026-Day000
2026,0,1370,84,1176,73,H,0,27,59,8,19,22,33,10,25,9,12,7,5,18,21,56,8,21,23,28,8,28,10,18,6,1,26,77.9875,2026-Day000
2026,0,1371,77,1389,50,H,0,21,45,5,15,30,36,11,21,15,8,9,9,23,14,51,6,23,16,22,12,16,6,12,5,1,23,60.275,2026-Day000
2026,0,1373,82,1136,66,H,0,31,67,5,16,15,20,16,16,19,7,12,2,13,24,56,10,22,8,12,10,18,13,20,5,4,17,69.6,2026-Day000
2026,0,1374,96,1470,76,H,0,28,50,7,18,33,42,7,22,13,10,6,3,24,20,51,7,18,29,35,7,19,12,13,5,1,30,73.2875,2026-Day000
2026,0,1375,76,1405,74,A,0,32,58,7,19,5,13,10,25,16,9,7,1,16,26,55,15,33,7,9,4,17,21,11,5,2,12,64.725,2026-Day000
2026,0,1378,102,1197,67,H,0,29,62,10,28,34,40,11,27,20,15,13,4,22,22,59,5,23,18,26,8,15,10,21,11,5,25,84.675,2026-Day000
2026,0,1382,69,1133,63,N,0,24,60,8,22,13,17,14,27,14,12,7,7,12,24,56,6,22,9,13,2,20,12,9,8,2,15,67.625,2026-Day000
2026,0,1385,108,1346,74,H,0,39,69,8,19,22,34,13,27,25,14,12,3,18,27,67,7,18,13,19,8,18,10,22,11,6,26,88.0875,2026-Day000
2026,0,1386,85,1248,76,H,0,30,66,6,25,19,22,12,26,17,7,5,4,18,29,64,6,21,12,23,10,19,9,7,5,0,19,71.6875,2026-Day000
2026,0,1387,92,1369,67,H,0,33,67,9,29,17,21,14,38,10,14,6,1,24,22,62,5,20,18,26,6,21,7,9,6,3,19,77.1625,2026-Day000
2026,0,1388,84,1472,58,H,0,29,57,11,26,15,19,11,29,17,11,6,3,19,25,53,5,21,3,10,2,18,13,9,8,2,17,65.3875,2026-Day000
2026,0,1393,85,1127,47,H,0,35,66,4,21,11,16,8,25,20,5,11,5,19,15,45,1,13,16,22,6,18,7,21,0,3,16,70.525,2026-Day000
2026,0,1397,76,1273,61,H,0,30,61,7,17,9,15,13,35,19,19,2,3,18,20,67,6,29,15,21,9,16,7,5,15,4,20,73.55,2026-Day000
2026,0,1401,98,1322,68,H,0,35,71,11,31,17,23,13,26,22,12,13,6,19,23,58,7,20,15,21,10,21,13,16,9,5,17,77.44999999999999,2026-Day000
2026,0,1406,67,1259,56,N,0,25,57,3,11,14,18,9,23,9,10,9,3,20,17,50,4,22,18,25,5,22,5,11,5,4,14,67.2125,2026-Day000
2026,0,1407,103,1245,97,A,1,33,63,12,26,25,33,6,27,20,11,8,3,24,30,79,12,31,25,33,21,23,17,14,5,5,23,85.675,2026-Day000
2026,0,1408,85,1359,72,H,0,31,53,11,21,12,13,2,26,14,7,10,6,15,25,61,12,31,10,17,10,20,17,11,4,3,10,67.125,2026-Day000
2026,0,1412,106,1290,55,H,0,37,74,9,26,23,37,14,30,18,8,17,1,15,16,55,5,21,18,19,4,22,9,26,8,4,23,85.80000000000001,2026-Day000
2026,0,1416,82,1220,78,H,0,26,56,8,20,22,36,10,20,16,16,2,3,20,26,62,5,22,21,24,11,15,16,11,7,4,28,76.25,2026-Day000
2026,0,1417,80,1186,74,H,0,33,70,8,26,6,10,10,21,19,8,7,3,12,29,54,7,25,9,14,6,23,22,16,5,2,13,71.7,2026-Day000
2026,0,1425,94,1142,64,H,0,29,63,9,26,27,40,10,29,24,13,7,11,15,24,72,9,33,7,12,15,22,16,20,7,4,30,83.85,2026-Day000
2026,0,1428,84,1363,75,H,0,31,62,10,25,12,19,12,22,18,11,7,4,19,30,65,6,20,9,18,8,22,8,11,6,1,19,73.2875,2026-Day000
2026,0,1433,103,1447,74,H,0,34,68,14,34,21,31,14,25,25,10,10,9,18,25,63,7,17,17,24,11,20,11,15,7,3,25,78.5625,2026-Day000
2026,0,1435,105,1252,61,H,0,38,68,17,31,12,17,8,27,24,6,13,6,19,17,56,6,26,21,22,7,23,8,17,3,1,16,75.2625,2026-Day000
2026,0,1438,87,1351,53,H,0,30,64,8,30,19,34,20,26,14,6,8,9,24,16,49,3,12,18,29,9,17,7,13,3,2,24,66.4625,2026-Day000
2026,0,1439,98,1149,67,H,0,35,76,9,28,19,27,14,35,19,7,6,6,16,23,71,11,31,10,15,12,23,19,14,5,1,23,80.975,2026-Day000
2026,0,1443,82,1399,70,H,0,26,62,2,11,28,35,11,29,8,11,13,3,14,27,61,10,31,6,12,8,24,19,19,3,7,23,78.1625,2026-Day000
2026,0,1444,76,1157,71,H,0,22,50,4,15,28,35,5,30,13,13,3,0,19,25,61,9,29,12,20,7,25,10,13,8,5,29,75.5625,2026-Day000
2026,0,1448,88,1110,74,H,0,31,65,7,25,19,24,10,26,20,11,16,5,20,25,58,8,30,16,18,8,23,11,18,7,0,18,76.975,2026-Day000
2026,0,1449,94,1115,50,H,0,30,61,10,25,24,33,16,33,21,14,9,4,14,17,67,8,31,8,12,11,16,7,15,10,3,24,75.6875,2026-Day000
2026,0,1454,90,1214,86,H,0,29,70,9,29,23,42,18,27,20,9,9,7,30,26,63,9,24,25,34,14,27,18,17,6,3,31,81.55000000000001,2026-Day000
2026,0,1457,81,1474,74,N,0,24,62,8,25,25,31,12,20,12,10,11,4,18,27,63,6,30,14,16,9,23,10,17,2,1,27,76.6625,2026-Day000
2026,0,1458,96,1144,64,H,0,34,67,11,28,17,19,11,18,19,9,11,1,16,23,52,5,19,13,17,9,20,7,19,8,2,21,72.05000000000001,2026-Day000
2026,0,1462,66,1265,62,H,0,18,53,7,26,23,32,8,18,13,11,11,2,20,21,44,3,10,17,25,6,25,14,17,5,6,21,69.0375,2026-Day000
2026,0,1465,87,1367,75,H,0,34,64,7,16,12,21,12,22,16,7,3,1,21,25,54,5,17,20,29,8,21,5,13,5,3,19,70.875,2026-Day000
2026,0,1469,81,1377,79,A,1,33,73,7,27,8,13,10,30,17,14,5,6,23,25,66,2,17,27,35,12,31,7,13,4,2,16,83.4,2026-Day000
2026,1,1113,81,1381,64,H,0,29,59,9,23,14,20,8,27,17,12,9,8,14,26,70,4,25,8,8,14,21,11,15,8,5,18,73.65,2026-Day001
2026,1,1181,75,1400,60,N,0,22,52,9,23,22,30,8,24,15,10,8,2,21,19,59,5,17,17,23,17,21,6,16,4,2,25,68.5875,2026-Day001
2026,1,1187,92,1204,89,H,0,31,66,4,20,26,41,16,23,18,13,8,5,20,31,66,9,22,18,30,13,23,12,14,11,1,26,81.8625,2026-Day001
2026,1,1199,108,1108,76,H,0,39,70,13,30,17,25,14,21,24,8,10,5,23,26,51,8,16,16,27,8,24,11,21,5,4,17,76.35,2026-Day001
2026,1,1234,101,1352,69,H,0,29,47,7,15,36,44,9,14,21,11,11,1,26,23,48,11,24,12,22,12,10,14,22,5,2,33,69.17500000000001,2026-Day001
2026,1,1243,93,1422,64,H,0,34,67,14,27,11,20,8,31,22,16,9,7,20,23,61,6,20,12,20,7,21,15,18,11,3,17,83.0,2026-Day001
2026,1,1246,77,1311,51,H,0,29,62,7,27,12,22,10,31,21,13,7,3,17,16,53,4,24,15,22,4,23,9,11,8,1,18,72.95,2026-Day001
2026,1,1305,77,1256,50,H,0,25,56,6,20,21,28,12,26,16,10,6,3,17,18,50,3,22,11,17,7,13,10,12,6,8,21,65.1875,2026-Day001
2026,1,1312,72,1200,61,A,0,28,59,12,22,4,8,7,28,14,10,4,3,13,23,67,4,24,11,18,16,25,9,7,6,4,15,66.175,2026-Day001
2026,1,1329,95,1331,71,H,0,32,72,8,25,23,30,12,36,18,13,7,0,19,24,69,8,38,15,22,10,24,14,16,7,12,24,86.35,2026-Day001
2026,1,1332,60,1218,59,H,0,21,58,2,16,16,26,15,29,9,21,8,7,16,21,65,5,27,12,19,13,23,8,15,12,5,19,76.1875,2026-Day001
2026,1,1345,82,1191,51,H,0,28,59,13,29,13,16,10,24,22,7,4,4,9,21,70,7,34,2,4,17,18,13,9,2,2,15,63.75,2026-Day001
2026,1,1361,77,1253,45,H,0,26,60,11,23,14,19,11,25,16,12,11,4,13,19,59,5,24,2,5,7,19,14,20,7,3,20,72.2,2026-Day001
2026,1,1376,91,1299,72,H,0,31,63,14,32,15,21,8,29,24,12,5,2,19,26,60,4,11,16,22,7,21,12,11,9,3,17,75.7125,2026-Day001
2026,1,1390,89,1340,79,H,0,27,57,6,17,29,36,10,24,9,15,9,2,17,27,59,13,27,12,16,8,21,16,19,5,1,30,78.35,2026-Day001
2026,1,1403,98,1473,60,H,0,33,82,17,45,15,23,21,35,20,6,12,2,21,19,61,5,21,17,26,10,32,7,14,4,4,21,77.63749999999999,2026-Day001
2026,1,1404,86,1424,81,A,0,24,55,11,30,27,48,7,21,18,14,12,3,27,23,50,7,23,28,37,8,23,16,22,8,4,31,83.1875,2026-Day001
2026,1,1434,66,1183,63,H,0,19,55,7,31,21,35,12,19,8,13,13,4,22,18,46,2,9,25,31,7,27,4,19,5,3,30,72.675,2026-Day001
2026,1,1452,70,1291,54,H,0,21,48,5,18,23,35,5,20,10,9,13,2,17,18,46,5,17,13,19,4,29,10,18,8,1,25,68.825,2026-Day001
2026,1,1455,75,1421,58,H,0,31,68,4,16,9,15,19,25,10,14,11,8,16,23,56,4,15,8,13,9,17,3,16,7,6,14,69.65,2026-Day001
2026,2,1139,88,1475,58,H,0,30,65,8,18,20,29,15,37,19,13,4,4,19,19,65,8,27,12,17,7,23,11,11,8,7,24,76.92500000000001,2026-Day002
2026,2,1166,92,1377,76,H,0,37,74,8,26,10,11,16,24,20,11,7,4,16,31,74,5,15,9,14,19,16,7,13,7,7,13,74.4375,2026-Day002
2026,2,1208,94,1271,29,H,0,31,76,8,40,24,29,23,27,16,9,18,7,15,11,55,1,18,6,13,17,18,5,29,7,3,18,74.475,2026-Day002
2026,2,1231,98,1105,51,H,0,36,58,10,24,16,16,6,33,23,11,7,2,18,18,53,5,15,10,19,2,13,9,10,6,2,16,70.3125,2026-Day002
2026,2,1247,87,1164,59,H,0,26,53,8,16,27,35,10,32,18,14,11,2,20,20,57,4,26,15,18,4,16,13,16,2,4,26,75.5875,2026-Day002
2026,2,1258,70,1186,62,H,0,24,56,9,26,13,21,8,26,14,13,6,3,21,21,52,3,11,17,25,5,25,13,11,8,1,18,70.425,2026-Day002
2026,2,1261,96,1470,60,H,0,33,46,8,18,22,29,7,32,21,16,5,6,18,20,62,7,22,13,18,11,8,8,8,9,0,21,68.1625,2026-Day002
2026,2,1266,100,1380,82,H,0,35,70,14,38,16,20,10,29,21,10,8,6,23,28,64,5,15,21,29,11,28,12,13,8,2,18,79.6375,2026-Day002
2026,2,1280,86,1466,62,H,0,31,71,8,27,16,24,17,33,15,7,9,6,14,24,65,7,19,7,12,9,24,7,13,5,8,20,73.55000000000001,2026-Day002
2026,2,1307,76,1477,54,H,0,27,63,8,20,14,23,12,30,15,15,11,1,13,21,62,5,34,7,11,11,25,9,20,8,3,19,76.57499999999999,2026-Day002
2026,2,1353,81,1351,53,H,0,25,64,10,27,21,33,17,26,12,7,8,5,17,18,65,2,20,15,18,17,24,4,13,4,1,25,69.6125,2026-Day002
2026,2,1367,67,1201,66,A,0,25,50,6,17,11,17,8,23,11,17,7,4,18,22,62,7,30,15,22,10,19,8,12,6,3,17,70.7625,2026-Day002
2026,2,1396,83,1175,65,H,0,31,57,8,21,13,22,9,20,15,6,7,4,13,24,54,7,16,10,13,6,22,9,13,4,2,15,65.8125,2026-Day002
2026,2,1413,80,1295,68,H,0,30,53,8,16,12,17,6,18,15,16,8,6,12,26,71,3,27,13,14,16,13,11,12,6,4,20,72.36250000000001,2026-Day002
2026,3,1101,73,1303,71,H,0,25,57,7,21,16,21,9,18,15,14,8,3,23,21,45,6,19,23,31,3,16,10,15,11,3,20,71.85,2026-Day003
2026,3,1120,95,1467,57,H,0,31,62,6,24,27,37,19,31,14,8,7,5,20,16,56,8,32,17,24,8,14,7,11,7,3,27,69.48750000000001,2026-Day003
2026,3,1130,76,1154,47,H,0,27,62,5,28,17,28,12,31,10,4,6,4,16,16,53,5,26,10,20,8,24,9,10,3,2,22,65.9,2026-Day003
2026,3,1143,77,1460,67,H,0,23,55,5,21,26,31,9,32,11,10,3,2,16,24,64,9,34,10,18,9,23,8,8,6,3,25,71.13749999999999,2026-Day003
2026,3,1196,104,1316,64,H,0,40,81,6,32,18,28,28,34,22,14,9,6,14,19,61,7,28,19,22,5,17,2,14,6,0,24,80.375,2026-Day003
2026,3,1235,102,1212,62,H,0,36,66,12,31,18,29,15,25,19,12,14,6,20,21,49,4,12,16,23,4,18,10,19,8,2,21,75.85,2026-Day003
2026,3,1254,94,1237,90,A,0,39,66,5,11,11,22,11,28,19,23,9,7,13,34,78,8,30,14,18,11,16,20,14,16,3,17,89.0,2026-Day003
2026,3,1257,106,1238,70,H,0,35,67,10,33,26,35,15,32,24,10,11,1,18,25,63,11,27,9,16,7,20,10,12,6,4,22,77.1125,2026-Day003
2026,3,1274,101,1126,61,H,0,39,66,8,17,15,22,10,34,25,6,8,7,20,21,66,6,28,13,19,10,20,10,11,3,4,18,74.23750000000001,2026-Day003
2026,3,1317,80,1322,53,H,0,28,50,10,21,14,22,11,19,15,9,7,6,22,14,40,5,16,20,27,6,11,7,14,7,2,16,59.6375,2026-Day003
2026,3,1320,86,1169,57,H,0,32,63,14,33,8,10,4,25,24,10,8,5,16,17,52,6,21,17,23,8,25,8,19,5,2,12,73.8375,2026-Day003
2026,3,1325,72,1229,68,H,0,28,55,1,8,15,27,4,27,13,8,4,3,13,27,62,8,26,6,11,6,25,11,9,4,4,20,71.025,2026-Day003
2026,3,1339,83,1115,74,H,0,26,59,6,27,25,32,8,29,20,19,8,4,21,21,57,8,25,24,27,6,25,12,19,11,2,24,84.0125,2026-Day003
2026,3,1346,71,1148,49,H,0,29,71,8,26,5,7,10,31,10,5,8,6,17,18,65,4,23,9,14,12,28,12,9,3,4,9,68.98750000000001,2026-Day003
2026,3,1352,81,1179,79,A,1,32,68,9,26,8,8,12,30,18,16,5,4,27,24,65,6,23,25,32,13,19,9,8,10,7,14,75.5,2026-Day003
2026,3,1374,69,1394,58,H,0,21,59,4,16,23,28,9,32,16,9,4,5,14,19,66,8,29,12,18,15,27,13,11,3,5,22,71.425,2026-Day003
2026,3,1375,76,1108,70,H,0,28,53,4,12,16,27,5,23,12,13,7,0,10,24,55,13,36,9,11,5,19,14,14,11,2,25,71.525,2026-Day003
2026,3,1387,108,1152,86,H,0,33,62,12,32,30,33,6,29,18,15,11,7,24,26,66,6,19,28,35,6,18,13,14,10,0,23,88.65,2026-Day003
2026,3,1395,104,1384,63,H,0,34,65,12,33,24,28,14,30,21,15,7,8,15,25,63,8,21,5,6,3,15,19,15,6,1,21,78.57499999999999,2026-Day003
2026,3,1401,104,1411,70,H,0,33,61,12,32,26,37,6,21,23,8,14,3,24,25,49,5,15,15,25,8,23,17,23,3,1,24,78.225,2026-Day003
2026,3,1415,74,1315,70,A,0,24,43,4,14,22,27,3,28,15,19,4,4,19,26,59,6,23,12,24,10,19,17,9,10,3,24,70.61250000000001,2026-Day003
2026,3,1449,84,1176,70,H,0,33,65,7,20,11,15,10,26,19,9,11,5,13,27,61,8,27,8,12,8,21,14,13,2,1,17,71.4125,2026-Day003
